epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.16525,0,6.18003,0,0,0,0,0,0,22.3549,0,0,0,0
2,4.75497,0,6.05149,0,0,0,0,0,0,20.6975,0,1.9604e-05,1.9604e-05,1.9604e-05
3,7.08754,0,5.95103,0,0,0,0,0,0,18.7304,0,3.8416e-05,3.8416e-05,3.8416e-05
4,9.38849,0,5.30173,0,0,0,0,0,0,16.5567,0,5.6436e-05,5.6436e-05,5.6436e-05
5,11.6746,0,4.95517,0,0,0,0,0,0,14.7013,0,7.3664e-05,7.3664e-05,7.3664e-05
6,14.0586,0,4.54953,0,0,0,0,0,0,13.1651,0,9.01e-05,9.01e-05,9.01e-05
7,16.4254,0,4.30754,0,0,0,0,0,0,11.8618,0,0.000105744,0.000105744,0.000105744
8,18.76,0,4.04793,0,0,0,0,0,0,10.7633,0,0.000120596,0.000120596,0.000120596
9,21.125,0,3.79849,0,0,0,0,0,0,9.54585,0,0.000134656,0.000134656,0.000134656
10,23.59,0,3.71714,0,0,0,0,0,0,8.33249,0,0.000147924,0.000147924,0.000147924
11,26.266,0,3.37009,0,0,0,0,0,0,7.5465,0,0.0001604,0.0001604,0.0001604
12,28.7144,0,3.3876,0,0,0,0,0,0,7.25934,0,0.000172084,0.000172084,0.000172084
